City,Month,Ridership (Million),Source,URL
Bengaluru,2023-April,0.96,RCB win: Bengaluru’s Namma Metro records over 9.6 lakh daily ridership - BusinessLine...,https://news.google.com/rss/articles/CBMi6wFBVV95cUxNX2F3bEx4SEs2d2poNkYyT1d1ZGhqNGgyX2ZobnViUWhUNkxyd1VjWkIzbG9DbWV3VHFscXMzam5VbkFlRkRDakhTZ2w4bWJOY0xhUFQ2QnkyWlJsbllMUzY5Qm9ZVUtsZHJNdk15dGZVeG9MRTFRWDhIWDZTMVQzT2FrZ1ZFN1RicXRFRDNJVjZMYnFHaTMycm1zODJxMjIwam1xU0xQZVFucGIwN3Q1S1BvejJVZnU2azlrRjFMVHdzZVpXdFhkZUY5bC1CS1BSSnNGWWpZS1E5bzFjMUNoT3pjbGRuN0kzck1r0gHyAUFVX3lxTE1YWGNENGN4anZMcFNHeVNGZXJBcXhNWnphbm5NWFVVVDM1QzVnVVkxTWt0UWwtY0lxN3lkZVYwNzFlZVFWTGJUYjJBbEVCZHhvWE05ZDc5M0YtWEJiWjZrRmJwRV8xWDlSTUtvam9RRU1VVmNGNnBqRENXeWduY3B1Vll1ZkVNbmVLUENnRjN2dml5U0pVaEFlZ1J2d0RpSHpEQnNYUmpaZklkc1Rmb1ZUNUI4VU9wbm9OZXlpUVYyN3pfcld1akRfRnE0MEN5dFRTejcyaS1MdEVVbVk5LWtlY2NrcVBCcHdZTEJOdVU3SXlB?oc=5
Bengaluru,2023-August,0.9,Bengaluru Metro touches 9 lakh daily ridership mark - Moneycontrol...,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOU3ktMWNBTVhwM0t4RzVNdTA2ck5pcmcwbE5iMG42YlBqa0wycGM2WDhuNm5OSHlDUjRoVlZFdjN4NlllaXBWZHZ5TWNaSVZUNUlKTjdmaHZaNW5NazNXX1NlRDlReUZCTmdJbzZydl93UDhabklvU0I4T25oYUJFSjBXUlJWVFpkRzhUVjVBUnZsZkx5S0pFNG4zc1UzazN5dk1mN3NYRVPSAa4BQVVfeXFMTmU1Ykd5bElTRi1Nd1R6LXFYQVYxUnpDYkwzRnRTQjdZeHJvOGdsMGt5eGtMaU1VWVQ0QTNyU0Z4cV9DVi1Vd2dqbmlkTkZvdm9rVTJNUVVaNEZTRmJUaDFWZzdjd1YwM0dUVWhoOVhfOUZZMmJMSGF3MmlyOFZlcC1zX0NkbGhWQUVMczFoSjBHdDlmWkRlcUNvekVQc0J1OUszX09waXN6UkJJejBB?oc=5
Bengaluru,2023-December,0.75,Bengaluru's Namma Metro hits record daily average ridership of 7.5 lakh passengers in June: Report -...,https://news.google.com/rss/articles/CBMi7wFBVV95cUxNb3c4TjgzbzgtU0wweGhxUmVkdTJXMWp1ZjZScVpsalJrT0VGVzh3WWNfcnYyU19oOFo0S2F4eU5IMHFkNTRFbHhEZUlfUG41bHV1T094bENTM2J5Xzhoc1FJMGxMWVhrbFlZcGNRNXNidXhDblB4akJlUEpvT2pKMGxUTERaN0xjOEpabVFlR2MwVUN0SUxKOGJBN1pCZS1NajJjdkFha0VKWFJtNndtR2hWYVFacnltRjlBQmVPaDdYZ0lucDJQSVRUQVRGTlpnNHVMVmoxeV9ZNkc1cnQzb25TTjdHY1Z5WXNMaTJpdw?oc=5
Bengaluru,2023-February,0.8,Bengaluru Metro ridership falls from 8 lakh to 6 lakh: Report - thefederal.com...,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNR2Q3ejNaU0lfbVR3eUcyVUZxN2ZSZFdQd0FCdTdOOEkxcXJQdmtZcWVna3hxWEFJM05WWGlUdkk4MU96bDRuclpFNm1SNDloeDJNdFJEZDlmUHlDZEdDTzdBcFFRQ0JXNWNMRkFua0lMVEdSLW5sTlZ2Zm51ZWpqcW10TXlLWlpnQkgxUnJRMk9seHNFdkJvTExQNDkxRjV4Z3BTMDB2YXZ5aUZlNlJBbERWUFp2Zl9xdS1qYkM3UEQ?oc=5
Bengaluru,2023-January,2.5,25 lakh+ Metro riders in city opt for QR code tickets - Bangalore Mirror...,https://news.google.com/rss/articles/CBMizwFBVV95cUxOOUlHOHlobUttNk5lN25PZFJRcUkzZEl2cDJkLUwydDRZdjRNcDNJaWdlZW1IY3ZXaUFYaURJTUNkMGlLT2JfU0N0TzR4RlB3dFVpZVlrTjg4NlBkT29BNHMtS3dUdG84QTFIUHZEeTl1bldyalZVTHNQQzJiUlhyaHJnelhnVElmQ1htRzJZMUhRbk5wTmhuWmUxWDk1Ti1keXctNVg3cVVHalRFRTVWd09KaGhTazJlOXhSYjFpR1lTbE0wek5UQURXZFFSUlnSAdQBQVVfeXFMTTJaQWVIRXVOanF4R2duX0JhM25ISWtTV1BXYUdyVTVBVEhoenlYSkt3ZnQwNXFoRGpMY2Z1NGtaMjhQaDBRc1hnaXgyTXVhRmZLX3V3S2VIMkV3SzNRdlBYdkJpWTFhTkxQLTRDWVBCaEJqR3owcEhocnk4ZHFaX0pacWtsdzkyc3ZMT2tyVFZ0YkN6LVNGYnltSjJBcHpiaVNHTjBzQ2NRdVZEYTFGWjctX3RicTVWaTh4R0lTLWNzTWZZcU8wVHNNLVZueHkwQURwLTk?oc=5
Bengaluru,2023-July,0.75,Bengaluru's Namma Metro hits record daily average ridership of 7.5 lakh passengers in June: Report -...,https://news.google.com/rss/articles/CBMi7wFBVV95cUxNb3c4TjgzbzgtU0wweGhxUmVkdTJXMWp1ZjZScVpsalJrT0VGVzh3WWNfcnYyU19oOFo0S2F4eU5IMHFkNTRFbHhEZUlfUG41bHV1T094bENTM2J5Xzhoc1FJMGxMWVhrbFlZcGNRNXNidXhDblB4akJlUEpvT2pKMGxUTERaN0xjOEpabVFlR2MwVUN0SUxKOGJBN1pCZS1NajJjdkFha0VKWFJtNndtR2hWYVFacnltRjlBQmVPaDdYZ0lucDJQSVRUQVRGTlpnNHVMVmoxeV9ZNkc1cnQzb25TTjdHY1Z5WXNMaTJpdw?oc=5
Bengaluru,2023-June,0.96,RCB win: Bengaluru’s Namma Metro records over 9.6 lakh daily ridership - BusinessLine...,https://news.google.com/rss/articles/CBMi6wFBVV95cUxNX2F3bEx4SEs2d2poNkYyT1d1ZGhqNGgyX2ZobnViUWhUNkxyd1VjWkIzbG9DbWV3VHFscXMzam5VbkFlRkRDakhTZ2w4bWJOY0xhUFQ2QnkyWlJsbllMUzY5Qm9ZVUtsZHJNdk15dGZVeG9MRTFRWDhIWDZTMVQzT2FrZ1ZFN1RicXRFRDNJVjZMYnFHaTMycm1zODJxMjIwam1xU0xQZVFucGIwN3Q1S1BvejJVZnU2azlrRjFMVHdzZVpXdFhkZUY5bC1CS1BSSnNGWWpZS1E5bzFjMUNoT3pjbGRuN0kzck1r0gHyAUFVX3lxTE1YWGNENGN4anZMcFNHeVNGZXJBcXhNWnphbm5NWFVVVDM1QzVnVVkxTWt0UWwtY0lxN3lkZVYwNzFlZVFWTGJUYjJBbEVCZHhvWE05ZDc5M0YtWEJiWjZrRmJwRV8xWDlSTUtvam9RRU1VVmNGNnBqRENXeWduY3B1Vll1ZkVNbmVLUENnRjN2dml5U0pVaEFlZ1J2d0RpSHpEQnNYUmpaZklkc1Rmb1ZUNUI4VU9wbm9OZXlpUVYyN3pfcld1akRfRnE0MEN5dFRTejcyaS1MdEVVbVk5LWtlY2NrcVBCcHdZTEJOdVU3SXlB?oc=5
Bengaluru,2023-March,2.5,25 lakh+ Metro riders in city opt for QR code tickets - Bangalore Mirror...,https://news.google.com/rss/articles/CBMizwFBVV95cUxOOUlHOHlobUttNk5lN25PZFJRcUkzZEl2cDJkLUwydDRZdjRNcDNJaWdlZW1IY3ZXaUFYaURJTUNkMGlLT2JfU0N0TzR4RlB3dFVpZVlrTjg4NlBkT29BNHMtS3dUdG84QTFIUHZEeTl1bldyalZVTHNQQzJiUlhyaHJnelhnVElmQ1htRzJZMUhRbk5wTmhuWmUxWDk1Ti1keXctNVg3cVVHalRFRTVWd09KaGhTazJlOXhSYjFpR1lTbE0wek5UQURXZFFSUlnSAdQBQVVfeXFMTTJaQWVIRXVOanF4R2duX0JhM25ISWtTV1BXYUdyVTVBVEhoenlYSkt3ZnQwNXFoRGpMY2Z1NGtaMjhQaDBRc1hnaXgyTXVhRmZLX3V3S2VIMkV3SzNRdlBYdkJpWTFhTkxQLTRDWVBCaEJqR3owcEhocnk4ZHFaX0pacWtsdzkyc3ZMT2tyVFZ0YkN6LVNGYnltSjJBcHpiaVNHTjBzQ2NRdVZEYTFGWjctX3RicTVWaTh4R0lTLWNzTWZZcU8wVHNNLVZueHkwQURwLTk?oc=5
Bengaluru,2023-May,0.83,"Namma Metro news: At 8.26 lakh, Bengaluru metro records highest-ever daily ridership - Deccan Herald...",https://news.google.com/rss/articles/CBMixAFBVV95cUxNM28yQVRmNl9DS0NVcnhualRLanFYQ3RZVi1pSjdRcC1zY3FZUUtqNHYyX3ZCSmRlOHM3bGZqWFIyVzFianRHbW9HUmxkT0JTV2tRc3o4TXg0OVdJZ1I1bDl5bDg3cmcxREEySmJNc3VxNjM3eHc1UjVQU2JRdWZrSjZFT2p2ZW0wZVF3VG5nZEE3czVIN2NINU1CRGloU1F5YnVzVGJNbXVzVWxQcVpUOHJCRm1jYTdoNTJvdDZ2TjRydkhP?oc=5
Bengaluru,2023-November,2.5,25 lakh Namma Metro passengers opt for QR code ticketing in Bengaluru - The Hindu...,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPVEw3emlPdTN3ckR6NkZXRndLX1VtMVAwMHc4Zk9LNTRJMjBKTEZiYjFvRXNtc09abmJFdXpCd2Y4d2NSblB4UEJ2WUQwXzZUTS1COV91S2lRZDRBMHU4VXdjUjRPUXJnekpObUxKajJ0Zi1DRmFWdnhjaHEtSzJqNVZVdjJBalFrR0VXeDVtQ0pISkkwVnVoMmFMc2FoYlpmRjJWdVpwNVZ1ay1ZVUh4MFVBZkJLSER0YlZORmF3MXgzeUZzYkh3OVU4VnpjdUJiVGVSStIB2wFBVV95cUxPRkRVZlh4RWY5dGY4eGY2d1A0cVVWVGdyNVpreGZiWFZaVHhUQ0lHUDlYN3V6T1B2eElURjVpdWlieFNuc1Zha19RWm82eHBfMHhnSktqN2VkTWJVaEV0T3NnbUxQS2dGOHZfcDBnbUtPdWRFNjNwMXBsRzlpVHB4VDZYYlliV1dFeVBGZE5PY2ViWGk5TUd1dkNmR2ZuVURHNUVacGk1d3VXUXR0SlpHaXFkZXJpWURvVmkwTndiNUxRUWtkbklwM2ROb3NCbTdOanRLcTRRNVhPb0U?oc=5
